date,loc,total_cases,total_deaths,people_vaccinated,total_vaccinations
2020-01,KOR,11.0,0.0,,0.0
2020-02,KOR,2920.0,16.0,,0.0
2020-03,KOR,6855.0,146.0,,0.0
2020-04,KOR,979.0,85.0,,0.0
2020-05,KOR,703.0,23.0,,0.0
2020-06,KOR,1331.0,12.0,,0.0
2020-07,KOR,1506.0,19.0,,0.0
2020-08,KOR,5642.0,23.0,,0.0
2020-09,KOR,3865.0,89.0,,0.0
2020-10,KOR,2699.0,51.0,,0.0
2020-11,KOR,7688.0,62.0,,0.0
2020-12,KOR,26523.0,374.0,,0.0
2021-01,KOR,17781.0,520.0,,0.0
2021-02,KOR,11517.0,183.0,,3108.0
2021-03,KOR,13611.0,128.0,,899942.0
2021-04,KOR,18995.0,100.0,,2754562.0
2021-05,KOR,18171.0,132.0,,4449351.0
2021-06,KOR,16925.0,58.0,,11371210.0
2021-07,KOR,42061.0,77.0,,6284048.0
2021-08,KOR,53657.0,194.0,,18430490.0
2021-09,KOR,60332.0,205.0,,19769501.0
2021-10,KOR,52613.0,362.0,,14775772.0
2021-11,KOR,85961.0,799.0,,6892440.0
2021-12,KOR,182904.0,1967.0,,18274849.0
2022-01,KOR,228790.0,1147.0,,10648470.0
2022-02,KOR,2409405.0,1398.0,,4755892.0
2022-03,KOR,10102373.0,8420.0,,1686213.0
2022-04,KOR,3899831.0,6285.0,,2335760.0
2022-05,KOR,843766.0,1322.0,,2218598.0
2022-06,KOR,249442.0,358.0,,428434.0
2022-07,KOR,1407193.0,513.0,,1289102.0
2022-08,KOR,3470274.0,1808.0,,1702003.0
2022-09,KOR,1522777.0,1569.0,,330721.0
2022-10,KOR,788208.0,785.0,,142012.0
2022-11,KOR,1541425.0,1391.0,,115384.0
2022-12,KOR,1960539.0,1651.0,,22624.0
2023-01,KOR,1117373.0,1250.0,,0.0
2023-02,KOR,337075.0,481.0,,0.0
2023-03,KOR,306409.0,278.0,,0.0
2023-04,KOR,350756.0,213.0,,0.0
2023-05,KOR,532625.0,267.0,,0.0
2023-06,KOR,428095.0,263.0,,0.0
2023-07,KOR,1070190.0,199.0,,0.0
2023-08,KOR,1234746.0,596.0,,0.0
2023-09,KOR,135331.0,122.0,,0.0
2023-10,KOR,0.0,0.0,,0.0
2023-11,KOR,0.0,0.0,,0.0
